timestamp,elapsed_s,pkg_no,group_idx,Fx,Fy,Fz,Mx,My,Mz
2026-03-31T21:19:58.828,0.328902,74,0,-0.006774,-0.004020,-0.059753,0.000049,-0.000177,0.000134
2026-03-31T21:19:58.828,0.328902,75,0,0.000304,-0.008205,-0.035803,-0.000348,0.000024,0.000263
2026-03-31T21:19:58.828,0.328902,76,0,0.000240,0.007789,-0.023824,-0.000535,0.000127,0.000140
2026-03-31T21:19:58.828,0.328902,77,0,0.007270,-0.004260,-0.023849,-0.000543,0.000121,0.000125
2026-03-31T21:19:58.828,0.328902,78,0,0.000198,-0.000051,-0.011933,-0.000553,-0.000096,-0.000000
2026-03-31T21:19:58.828,0.328902,79,0,-0.013713,-0.008075,-0.035768,-0.000348,0.000037,0.000277
2026-03-31T21:19:58.828,0.328902,80,0,0.007283,0.003752,-0.047793,-0.000143,-0.000086,0.000264
2026-03-31T21:19:58.828,0.328902,81,0,-0.006807,-0.011897,-0.035882,-0.000165,-0.000297,-0.000005
2026-03-31T21:19:58.828,0.328902,82,0,-0.006631,0.003837,-0.047734,-0.000518,-0.000070,0.000278
2026-03-31T21:19:58.828,0.328902,83,0,-0.006671,-0.004064,-0.059730,-0.000326,-0.000173,0.000135
2026-03-31T21:19:58.828,0.328902,84,0,0.000294,-0.000119,-0.047776,-0.000521,-0.000076,-0.000004
2026-03-31T21:19:58.828,0.328902,85,0,0.000137,0.007833,-0.023848,-0.000160,0.000124,0.000140
2026-03-31T21:19:58.828,0.328902,86,0,0.000336,-0.000267,-0.035787,-0.000343,0.000024,0.000406
2026-03-31T21:19:58.828,0.328902,87,0,0.007364,-0.004267,-0.035806,-0.000721,0.000021,0.000124
2026-03-31T21:19:58.828,0.328902,88,0,0.014217,-0.000241,-0.035855,-0.000343,0.000011,-0.000016
2026-03-31T21:19:58.828,0.328902,89,0,-0.006734,0.003881,-0.047758,-0.000143,-0.000073,0.000278
2026-03-31T21:19:58.828,0.328902,90,0,0.000313,-0.008241,-0.023824,-0.000545,0.000128,0.000265
2026-03-31T21:19:58.828,0.328902,91,0,-0.006661,-0.012150,-0.047757,-0.000153,-0.000073,0.000402
2026-03-31T21:19:58.828,0.328902,92,0,0.007189,0.011746,-0.059717,-0.000125,0.000137,-0.000004
2026-03-31T21:19:58.828,0.328902,93,0,-0.013693,0.008009,-0.023838,-0.000726,-0.000183,0.000154
2026-03-31T21:19:58.828,0.328902,94,0,-0.006736,0.003942,-0.023871,-0.000353,-0.000193,0.000281
2026-03-31T21:19:58.828,0.328902,95,0,-0.006756,-0.004094,-0.035794,-0.000346,0.000030,0.000137
2026-03-31T21:19:58.828,0.328902,96,0,-0.013725,-0.007917,0.000026,-0.000571,-0.000306,0.000281
2026-03-31T21:19:58.828,0.328902,97,0,0.000105,-0.000105,-0.023864,-0.000165,0.000124,-0.000002
2026-03-31T21:19:58.828,0.328902,98,0,-0.013607,-0.008180,-0.059632,-0.000513,0.000161,0.000274
2026-03-31T21:19:58.828,0.328902,99,0,0.000222,0.007863,-0.047784,-0.000140,-0.000080,0.000138
2026-03-31T21:19:58.828,0.328902,100,0,0.000263,-0.008057,-0.047792,-0.000526,-0.000076,-0.000146
2026-03-31T21:19:58.828,0.328902,101,0,0.000380,-0.000090,-0.071712,-0.000501,-0.000280,-0.000006
2026-03-31T21:19:58.828,0.328902,102,0,0.014416,-0.008341,-0.047795,-0.000525,-0.000089,0.000249
2026-03-31T21:19:58.828,0.328902,103,0,0.000231,0.007826,-0.035804,-0.000338,0.000024,0.000139
2026-03-31T21:19:58.828,0.328902,104,0,-0.006798,-0.011934,-0.023903,-0.000363,-0.000193,-0.000004
2026-03-31T21:19:58.828,0.328902,105,0,0.000315,-0.008302,-0.047710,-0.000335,0.000248,0.000262
2026-03-31T21:19:58.828,0.328902,106,0,0.007407,-0.004476,-0.047704,-0.000333,0.000242,0.000531
2026-03-31T21:19:58.828,0.328902,107,0,-0.006862,-0.003989,-0.011930,-0.000180,-0.000093,0.000139
2026-03-31T21:19:58.828,0.328902,108,0,-0.013576,-0.000242,-0.059616,-0.000508,0.000161,0.000417
2026-03-31T21:19:58.828,0.328902,109,0,0.007199,0.003661,-0.047744,0.000047,0.000237,0.000264
2026-03-31T21:19:58.828,0.328902,110,0,0.007270,-0.004260,-0.023849,-0.000543,0.000121,0.000125
2026-03-31T21:19:58.828,0.328902,111,0,0.000137,0.007833,-0.023848,-0.000160,0.000124,0.000140
2026-03-31T21:19:58.828,0.328902,112,0,0.000188,-0.016172,-0.011883,-0.000373,0.000228,0.000123
2026-03-31T21:19:58.828,0.328902,113,0,-0.013702,0.008046,-0.035818,-0.000528,-0.000287,0.000153
2026-03-31T21:19:58.828,0.328902,114,0,0.000448,-0.000347,-0.023784,-0.000916,0.000132,0.000408
2026-03-31T21:19:58.828,0.328902,115,0,-0.006747,-0.004130,-0.023814,-0.000543,0.000134,0.000138
2026-03-31T21:19:58.828,0.328902,116,0,0.000137,0.007833,-0.023848,-0.000160,0.000124,0.000140
2026-03-31T21:19:58.828,0.328902,117,0,0.000096,-0.000068,-0.035843,0.000032,0.000020,-0.000004
2026-03-31T21:19:58.828,0.328902,118,0,0.007250,-0.004125,-0.023922,-0.000358,-0.000206,0.000125
2026-03-31T21:19:58.828,0.328902,119,0,0.000200,-0.000112,-0.035820,-0.000343,0.000024,-0.000003
2026-03-31T21:19:58.828,0.328902,120,0,0.007478,-0.012396,-0.023809,-0.000923,0.000126,0.000392
2026-03-31T21:19:58.828,0.328902,121,0,0.000325,-0.000169,-0.023880,-0.000355,-0.000199,0.000407
