run_id,sample_id,theta0_cmd_deg,theta1_cmd_deg,frames,sample_path,start_ts,end_ts
collect_20260415_094400,sample_000001,-1.000000,-1.000000,50,samples\sample_000001.npz,2026-04-15T09:44:44.765,2026-04-15T09:44:45.081
collect_20260415_094400,sample_000002,-1.000000,-1.000000,50,samples\sample_000002.npz,2026-04-15T09:44:47.582,2026-04-15T09:44:48.249
collect_20260415_094400,sample_000003,-1.000000,-0.900000,50,samples\sample_000003.npz,2026-04-15T09:44:51.095,2026-04-15T09:44:51.607
collect_20260415_094400,sample_000004,-1.000000,-0.900000,50,samples\sample_000004.npz,2026-04-15T09:44:54.112,2026-04-15T09:44:54.449
collect_20260415_094400,sample_000005,-1.000000,-0.800000,50,samples\sample_000005.npz,2026-04-15T09:44:57.020,2026-04-15T09:44:57.306
collect_20260415_094400,sample_000006,-1.000000,-0.800000,50,samples\sample_000006.npz,2026-04-15T09:44:59.818,2026-04-15T09:44:59.982
collect_20260415_094400,sample_000007,-1.000000,-0.700000,50,samples\sample_000007.npz,2026-04-15T09:45:02.560,2026-04-15T09:45:02.656
collect_20260415_094400,sample_000008,-1.000000,-0.700000,50,samples\sample_000008.npz,2026-04-15T09:45:05.169,2026-04-15T09:45:05.340
collect_20260415_094400,sample_000009,-1.000000,-0.600000,50,samples\sample_000009.npz,2026-04-15T09:45:07.891,2026-04-15T09:45:08.009
collect_20260415_094400,sample_000010,-1.000000,-0.600000,50,samples\sample_000010.npz,2026-04-15T09:45:10.442,2026-04-15T09:45:10.529
collect_20260415_094400,sample_000011,-1.000000,-0.500000,50,samples\sample_000011.npz,2026-04-15T09:45:13.097,2026-04-15T09:45:13.370
collect_20260415_094400,sample_000012,-1.000000,-0.500000,50,samples\sample_000012.npz,2026-04-15T09:45:15.777,2026-04-15T09:45:15.884
collect_20260415_094400,sample_000013,-1.000000,-0.400000,50,samples\sample_000013.npz,2026-04-15T09:45:18.563,2026-04-15T09:45:18.736
collect_20260415_094400,sample_000014,-1.000000,-0.400000,50,samples\sample_000014.npz,2026-04-15T09:45:21.243,2026-04-15T09:45:21.417
collect_20260415_094400,sample_000015,-1.000000,-0.300000,50,samples\sample_000015.npz,2026-04-15T09:45:23.943,2026-04-15T09:45:24.107
collect_20260415_094400,sample_000016,-1.000000,-0.300000,50,samples\sample_000016.npz,2026-04-15T09:45:26.598,2026-04-15T09:45:26.952
collect_20260415_094400,sample_000017,-1.000000,-0.200000,50,samples\sample_000017.npz,2026-04-15T09:45:29.612,2026-04-15T09:45:29.788
collect_20260415_094400,sample_000018,-1.000000,-0.200000,50,samples\sample_000018.npz,2026-04-15T09:45:32.299,2026-04-15T09:45:32.632
collect_20260415_094400,sample_000019,-1.000000,-0.100000,50,samples\sample_000019.npz,2026-04-15T09:45:35.309,2026-04-15T09:45:35.813
collect_20260415_094400,sample_000020,-1.000000,-0.100000,50,samples\sample_000020.npz,2026-04-15T09:45:38.325,2026-04-15T09:45:38.499
collect_20260415_094400,sample_000021,-1.000000,-0.000000,50,samples\sample_000021.npz,2026-04-15T09:45:41.179,2026-04-15T09:45:41.349
collect_20260415_094400,sample_000022,-1.000000,-0.000000,50,samples\sample_000022.npz,2026-04-15T09:45:43.851,2026-04-15T09:45:44.195
collect_20260415_094400,sample_000023,-1.000000,0.100000,50,samples\sample_000023.npz,2026-04-15T09:45:46.774,2026-04-15T09:45:46.868
collect_20260415_094400,sample_000024,-1.000000,0.100000,50,samples\sample_000024.npz,2026-04-15T09:45:49.372,2026-04-15T09:45:49.718
collect_20260415_094400,sample_000025,-1.000000,0.200000,50,samples\sample_000025.npz,2026-04-15T09:45:52.397,2026-04-15T09:45:52.566
collect_20260415_094400,sample_000026,-1.000000,0.200000,50,samples\sample_000026.npz,2026-04-15T09:45:55.067,2026-04-15T09:45:55.422
collect_20260415_094400,sample_000027,-1.000000,0.300000,50,samples\sample_000027.npz,2026-04-15T09:45:58.084,2026-04-15T09:45:58.268
collect_20260415_094400,sample_000028,-1.000000,0.300000,50,samples\sample_000028.npz,2026-04-15T09:46:00.673,2026-04-15T09:46:00.767
collect_20260415_094400,sample_000029,-1.000000,0.400000,50,samples\sample_000029.npz,2026-04-15T09:46:03.272,2026-04-15T09:46:03.441
collect_20260415_094400,sample_000030,-1.000000,0.400000,50,samples\sample_000030.npz,2026-04-15T09:46:05.797,2026-04-15T09:46:05.964
collect_20260415_094400,sample_000031,-1.000000,0.500000,50,samples\sample_000031.npz,2026-04-15T09:46:08.637,2026-04-15T09:46:09.144
collect_20260415_094400,sample_000032,-1.000000,0.500000,50,samples\sample_000032.npz,2026-04-15T09:46:11.647,2026-04-15T09:46:11.824
collect_20260415_094400,sample_000033,-1.000000,0.600000,50,samples\sample_000033.npz,2026-04-15T09:46:14.494,2026-04-15T09:46:14.834
collect_20260415_094400,sample_000034,-1.000000,0.600000,50,samples\sample_000034.npz,2026-04-15T09:46:17.258,2026-04-15T09:46:17.347
collect_20260415_094400,sample_000035,-1.000000,0.700000,50,samples\sample_000035.npz,2026-04-15T09:46:19.883,2026-04-15T09:46:20.032
collect_20260415_094400,sample_000036,-1.000000,0.700000,50,samples\sample_000036.npz,2026-04-15T09:46:22.535,2026-04-15T09:46:22.873
collect_20260415_094400,sample_000037,-1.000000,0.800000,50,samples\sample_000037.npz,2026-04-15T09:46:25.383,2026-04-15T09:46:25.730
