run_id,sample_id,theta0_cmd_deg,theta1_cmd_deg,frames,sample_path,start_ts,end_ts
collect_20260413_113237,sample_000001,-1.000000,-1.000000,20,samples\sample_000001.npz,2026-04-13T11:33:21.720,2026-04-13T11:33:21.728
collect_20260413_113237,sample_000002,-1.000000,-0.900000,20,samples\sample_000002.npz,2026-04-13T11:33:24.209,2026-04-13T11:33:24.210
collect_20260413_113237,sample_000003,-1.000000,-0.800000,20,samples\sample_000003.npz,2026-04-13T11:33:26.673,2026-04-13T11:33:26.675
collect_20260413_113237,sample_000004,-1.000000,-0.700000,20,samples\sample_000004.npz,2026-04-13T11:33:29.211,2026-04-13T11:33:29.212
collect_20260413_113237,sample_000005,-1.000000,-0.600000,20,samples\sample_000005.npz,2026-04-13T11:33:31.672,2026-04-13T11:33:31.673
collect_20260413_113237,sample_000006,-1.000000,-0.500000,20,samples\sample_000006.npz,2026-04-13T11:33:34.205,2026-04-13T11:33:34.206
collect_20260413_113237,sample_000007,-1.000000,-0.400000,20,samples\sample_000007.npz,2026-04-13T11:33:36.673,2026-04-13T11:33:36.675
collect_20260413_113237,sample_000008,-1.000000,-0.300000,20,samples\sample_000008.npz,2026-04-13T11:33:39.120,2026-04-13T11:33:39.121
collect_20260413_113237,sample_000009,-1.000000,-0.200000,20,samples\sample_000009.npz,2026-04-13T11:33:41.567,2026-04-13T11:33:41.568
collect_20260413_113237,sample_000010,-1.000000,-0.100000,20,samples\sample_000010.npz,2026-04-13T11:33:44.026,2026-04-13T11:33:44.027
collect_20260413_113237,sample_000011,-1.000000,-0.000000,20,samples\sample_000011.npz,2026-04-13T11:33:46.636,2026-04-13T11:33:46.637
collect_20260413_113237,sample_000012,-1.000000,0.100000,20,samples\sample_000012.npz,2026-04-13T11:33:49.143,2026-04-13T11:33:49.144
collect_20260413_113237,sample_000013,-1.000000,0.200000,20,samples\sample_000013.npz,2026-04-13T11:33:51.603,2026-04-13T11:33:51.603
collect_20260413_113237,sample_000014,-1.000000,0.300000,20,samples\sample_000014.npz,2026-04-13T11:33:54.063,2026-04-13T11:33:54.064
collect_20260413_113237,sample_000015,-1.000000,0.400000,20,samples\sample_000015.npz,2026-04-13T11:33:56.583,2026-04-13T11:33:56.585
collect_20260413_113237,sample_000016,-1.000000,0.500000,20,samples\sample_000016.npz,2026-04-13T11:33:59.109,2026-04-13T11:33:59.110
collect_20260413_113237,sample_000017,-1.000000,0.600000,20,samples\sample_000017.npz,2026-04-13T11:34:01.647,2026-04-13T11:34:01.648
collect_20260413_113237,sample_000018,-1.000000,0.700000,20,samples\sample_000018.npz,2026-04-13T11:34:04.170,2026-04-13T11:34:04.171
collect_20260413_113237,sample_000019,-1.000000,0.800000,20,samples\sample_000019.npz,2026-04-13T11:34:06.678,2026-04-13T11:34:06.679
collect_20260413_113237,sample_000020,-1.000000,0.900000,20,samples\sample_000020.npz,2026-04-13T11:34:09.241,2026-04-13T11:34:09.242
collect_20260413_113237,sample_000021,-1.000000,1.000000,20,samples\sample_000021.npz,2026-04-13T11:34:11.827,2026-04-13T11:34:11.828
collect_20260413_113237,sample_000022,-0.900000,-1.000000,20,samples\sample_000022.npz,2026-04-13T11:34:14.951,2026-04-13T11:34:14.951
collect_20260413_113237,sample_000023,-0.900000,-0.900000,20,samples\sample_000023.npz,2026-04-13T11:34:17.479,2026-04-13T11:34:17.480
collect_20260413_113237,sample_000024,-0.900000,-0.800000,20,samples\sample_000024.npz,2026-04-13T11:34:19.921,2026-04-13T11:34:19.922
collect_20260413_113237,sample_000025,-0.900000,-0.700000,20,samples\sample_000025.npz,2026-04-13T11:34:22.486,2026-04-13T11:34:22.487
collect_20260413_113237,sample_000026,-0.900000,-0.600000,20,samples\sample_000026.npz,2026-04-13T11:34:24.943,2026-04-13T11:34:24.944
collect_20260413_113237,sample_000027,-0.900000,-0.500000,20,samples\sample_000027.npz,2026-04-13T11:34:27.391,2026-04-13T11:34:27.392
collect_20260413_113237,sample_000028,-0.900000,-0.400000,20,samples\sample_000028.npz,2026-04-13T11:34:29.838,2026-04-13T11:34:29.840
